id;income_50k;age;class_worker;education;wage_per_hour;hs_college;marital_stat;race;hisp_origin;sex;unemp_reason;country_father;country_mother;country_self;citizenship
1;- 50000.;73; Not in universe; High school graduate;0; Not in universe; Widowed; White; All other; Female; Not in universe; United-States; United-States; United-States; Native- Born in the United States
2;- 50000.;58; Self-employed-not incorporated; Some college but no degree;0; Not in universe; Divorced; White; All other; Male; Not in universe; United-States; United-States; United-States; Native- Born in the United States
3;- 50000.;18; Not in universe;10th grade;0; High school; Never married; Asian or Pacific Islander; All other; Female; Not in universe; Vietnam; Vietnam; Vietnam; Foreign born- Not a citizen of U S 
4;- 50000.;9; Not in universe; Children;0; Not in universe; Never married; White; All other; Female; Not in universe; United-States; United-States; United-States; Native- Born in the United States
5;- 50000.;10; Not in universe; Children;0; Not in universe; Never married; White; All other; Female; Not in universe; United-States; United-States; United-States; Native- Born in the United States
6;- 50000.;48; Private; Some college but no degree;1200; Not in universe; Married-civilian spouse present; Amer Indian Aleut or Eskimo; All other; Female; Not in universe; Philippines; United-States; United-States; Native- Born in the United States
7;- 50000.;42; Private; Bachelors degree(BA AB BS);0; Not in universe; Married-civilian spouse present; White; All other; Male; Not in universe; United-States; United-States; United-States; Native- Born in the United States
8;- 50000.;28; Private; High school graduate;0; Not in universe; Never married; White; All other; Female; Job loser - on layoff; United-States; United-States; United-States; Native- Born in the United States
9;- 50000.;47; Local government; Some college but no degree;876; Not in universe; Married-civilian spouse present; White; All other; Female; Not in universe; United-States; United-States; United-States; Native- Born in the United States
10;- 50000.;34; Private; Some college but no degree;0; Not in universe; Married-civilian spouse present; White; All other; Male; Not in universe; United-States; United-States; United-States; Native- Born in the United States
11;- 50000.;8; Not in universe; Children;0; Not in universe; Never married; White; All other; Female; Not in universe; United-States; United-States; United-States; Native- Born in the United States
12;- 50000.;32; Not in universe; High school graduate;0; Not in universe; Never married; Black; All other; Female; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S 
13;- 50000.;51; Private; Some college but no degree;0; Not in universe; Married-civilian spouse present; White; Do not know; Male; Not in universe; United-States; United-States; United-States; Native- Born in the United States
14;- 50000.;46; Private; High school graduate;0; Not in universe; Divorced; White; Central or South American; Female; Not in universe; Columbia; Columbia; Columbia; Foreign born- Not a citizen of U S 
15;- 50000.;26; Private; Bachelors degree(BA AB BS);0; Not in universe; Never married; White; All other; Female; Not in universe; United-States; United-States; United-States; Native- Born in the United States
